Date,Open,High,Low,Close,Volume
11/13/2023,"12.50","12.53","11.83","12.14","4318457"
11/10/2023,"12.81","12.97","12.35","12.54","3705621"
11/07/2023,"13.47","13.79","13.23","13.64","2354364"
11/06/2023,"13.99","14.05","13.49","13.53","2164399"
11/03/2023,"13.90","14.40","13.83","13.87","2966237"
11/02/2023,"13.37","13.70","13.28","13.64","3566585"
11/01/2023,"13.78","13.80","13.01","13.01","3430138"
10/31/2023,"12.85","13.90","12.82","13.77","4574637"
10/30/2023,"13.15","13.27","12.59","12.80","3475939"
10/27/2023,"13.51","13.62","13.02","13.12","2481701"
10/26/2023,"13.73","13.80","13.41","13.50","2036419"
10/25/2023,"14.01","14.01","13.61","13.71","1967280"
10/24/2023,"13.59","14.30","13.55","14.04","3738325"
10/23/2023,"13.28","13.59","13.04","13.44","2785462"
10/20/2023,"13.18","13.80","13.12","13.44","3661770"
10/19/2023,"13.80","13.85","12.90","13.16","5808038"
10/18/2023,"14.00","14.25","13.81","13.85","4045789"
10/17/2023,"14.25","14.83","14.10","14.12","3842428"
10/16/2023,"14.81","14.93","14.15","14.43","3508601"
